id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
50475739,Aparthotel in Hlavní město Praha · 1 bedroom · 1 bed · 1 bath,351491674,Diana,,Praha 1,50.07954,14.41865,Entire home/apt,4643,1,2,2021-08-08,0.07,6,210,0,
50484238,Condo in Hlavní město Praha · ★4.80 · 1 bedroom · 3 beds · 1 bath,265555756,Karel,,Praha 8,50.09227,14.43947,Entire home/apt,1514,1,5,2021-07-18,0.17,2,27,0,
50497329,Rental unit in Hlavní město Praha · ★4.78 · 1 bedroom · 2 beds · 1 bath,80918522,Sophia,,Praha 1,50.088455,14.409949,Entire home/apt,4659,2,27,2022-09-27,0.89,10,328,0,
50499129,Rental unit in Hlavní město Praha · ★4.50 · 2 bedrooms · 3 beds · 1 bath,80918522,Sophia,,Praha 1,50.08891,14.40907,Entire home/apt,7556,2,16,2022-11-27,0.55,10,326,0,
50502712,Rental unit in Hlavní město Praha · ★4.60 · 1 bedroom · 2 beds · 1 bath,80918522,Sophia,,Praha 1,50.08796,14.40896,Entire home/apt,4508,2,15,2022-03-01,0.50,10,323,0,
50509152,Rental unit in Hlavní město Praha · ★4.97 · 1 bedroom · 2 beds · 1 bath,48359779,Michal,,Praha 1,50.08664,14.41701,Entire home/apt,4701,2,200,2023-12-17,6.66,3,344,78,
50513560,Aparthotel in Hlavní město Praha · ★4.70 · 1 bedroom · 1 bed · 1 bath,351491674,Diana,,Praha 1,50.08174,14.41853,Entire home/apt,1900,1,398,2023-10-30,13.16,6,244,22,
50531437,Rental unit in Hlavní město Praha · ★4.23 · 2 bedrooms · 3 beds · 1 bath,82459266,Zeb,,Praha 1,50.07815,14.41649,Entire home/apt,2872,2,115,2023-12-14,3.80,31,69,51,
50536389,Serviced apartment in Praha 5 · 2 bedrooms · 5 beds · 1.5 baths,363347546,Jan,,Praha 5,50.075478,14.37181,Entire home/apt,,2,1,2021-07-01,0.03,5,0,0,
50536974,Aparthotel in Hlavní město Praha · ★4.74 · 1 bedroom · 1 bed · 1 bath,351491674,Diana,,Praha 1,50.08006,14.41863,Entire home/apt,1900,1,116,2023-08-21,3.84,6,247,11,
50536979,Serviced apartment in Hlavní město Praha · ★4.29 · 5 bedrooms · 5 beds · 2.5 baths,408319714,Eva,,Praha 5,50.08065,14.40461,Entire home/apt,200000,2,14,2022-01-02,0.47,1,74,0,
50538326,Condo in Praha 7 · ★5.0 · 1 bedroom · 1 bed · 1 bath,222683374,Evgeny,,Praha 7,50.10064,14.45284,Entire home/apt,2229,2,56,2023-12-18,1.91,1,83,18,
50559156,Serviced apartment in Praha 2 · ★4.92 · Studio · 2 beds · 1 bath,24870251,Martin,,Praha 2,50.07528,14.43153,Entire home/apt,2544,2,66,2023-10-01,2.39,13,352,33,
50564126,Condo in Hlavní město Praha · ★5.0 · 1 bedroom · 1 bath,72999689,Ondřej,,Praha 1,50.08756,14.41697,Entire home/apt,4786,3,6,2023-12-18,0.21,1,320,5,
50579094,Hotel in Hlavní město Praha · ★4.20 · 1 bedroom · 2 beds · 1 private bath,3524453,Aparthotel,,Praha 2,50.07696,14.42299,Private room,,3,35,2023-03-13,1.17,19,0,3,
50583526,Rental unit in Hlavní město Praha · ★4.95 · 3 bedrooms · 5 beds · 2.5 baths,304146674,Jana,,Praha 1,50.08514,14.40728,Entire home/apt,7400,1,217,2023-12-16,7.17,5,141,86,
50607502,Condo in Hlavní město Praha · ★5.0 · 1 bedroom · 1.5 baths,160982284,Vanesa,,Praha 1,50.08224,14.42899,Entire home/apt,2000,4,3,2023-05-29,0.11,2,81,1,
50629204,Rental unit in Hlavní město Praha · ★4.60 · Studio · 1 bath,101099104,Daniela,,Praha 2,50.0756,14.44889,Entire home/apt,1743,1,15,2023-12-03,0.51,8,303,6,
50632976,Serviced apartment in Praha 4 · ★4.69 · 1 bedroom · 1 bed · 1 bath,92781139,Prague Days,,Praha 4,50.04857,14.45812,Entire home/apt,2038,1,13,2023-11-06,0.45,30,102,8,
50636149,Condo in Praha 4 · ★4.67 · 1 bedroom · 5 beds · 1 bath,306545715,Marta,,Praha 4,50.06349,14.43654,Entire home/apt,,1,6,2021-08-26,0.20,1,0,0,
50639884,Condo in Hlavní město Praha · ★4.88 · 1 bedroom · 2 beds · 1 bath,160982284,Vanesa,,Praha 1,50.08067,14.42912,Entire home/apt,,4,8,2022-08-28,0.31,2,0,0,
50647126,Serviced apartment in Hlavní město Praha · ★4.75 · 1 bedroom · 2 beds · 1 bath,403695063,Zeitraum,,Praha 1,50.08555,14.43408,Entire home/apt,6130,1,4,2023-06-11,0.14,16,16,3,
